Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_line,cell_type,Center Name,Consent,Culture_condition,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,strain
SRR7770795,OTHER,198,2010077350,PRJNA488313,SAMN09930050,911901847,F123,mouse ESC line,GEO,public,serum+LIF,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4626250,GSM3359960,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2018-11-17T00:00:00Z,2018-08-30T16:58:00Z,1,GSM3359960,F123 embryonic stem cells,SRP159191,F1 Mus musculus castaneus x S129/SvJae
SRR7770796,OTHER,198,4398610546,PRJNA488313,SAMN09930050,1812939578,F123,mouse ESC line,GEO,public,serum+LIF,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4626250,GSM3359960,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2018-11-17T00:00:00Z,2018-08-30T17:07:00Z,1,GSM3359960,F123 embryonic stem cells,SRP159191,F1 Mus musculus castaneus x S129/SvJae
SRR7770797,OTHER,198,4774937540,PRJNA488313,SAMN09930050,1919378632,F123,mouse ESC line,GEO,public,serum+LIF,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4626250,GSM3359960,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2018-11-17T00:00:00Z,2018-08-30T17:11:00Z,1,GSM3359960,F123 embryonic stem cells,SRP159191,F1 Mus musculus castaneus x S129/SvJae
SRR7770798,OTHER,198,3290735486,PRJNA488313,SAMN09930049,1400146119,F123,mouse ESC line,GEO,public,serum+LIF,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4626251,GSM3359961,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2018-11-17T00:00:00Z,2018-08-30T17:05:00Z,1,GSM3359961,F123 embryonic stem cells,SRP159191,F1 Mus musculus castaneus x S129/SvJae
SRR7770799,OTHER,201,58834704185,PRJNA488313,SAMN09930049,30600549954,F123,mouse ESC line,GEO,public,serum+LIF,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4626251,GSM3359961,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2018-11-17T00:00:00Z,2018-08-30T21:45:00Z,1,GSM3359961,F123 embryonic stem cells,SRP159191,F1 Mus musculus castaneus x S129/SvJae
SRR7770800,OTHER,197,4382569821,PRJNA488313,SAMN09930049,1810025654,F123,mouse ESC line,GEO,public,serum+LIF,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4626251,GSM3359961,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2018-11-17T00:00:00Z,2018-08-30T17:11:00Z,1,GSM3359961,F123 embryonic stem cells,SRP159191,F1 Mus musculus castaneus x S129/SvJae
SRR7770801,OTHER,197,4586990369,PRJNA488313,SAMN09930049,1846520523,F123,mouse ESC line,GEO,public,serum+LIF,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4626251,GSM3359961,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2018-11-17T00:00:00Z,2018-08-30T17:09:00Z,1,GSM3359961,F123 embryonic stem cells,SRP159191,F1 Mus musculus castaneus x S129/SvJae
SRR7770802,OTHER,197,2407142676,PRJNA488313,SAMN09930096,1018434644,F123,mouse ESC line,GEO,public,serum+LIF,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4626252,GSM3359962,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2018-11-17T00:00:00Z,2018-08-30T17:02:00Z,1,GSM3359962,F123 embryonic stem cells,SRP159191,F1 Mus musculus castaneus x S129/SvJae
SRR7770803,OTHER,201,20974033001,PRJNA488313,SAMN09930096,10944284293,F123,mouse ESC line,GEO,public,serum+LIF,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4626252,GSM3359962,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2018-11-17T00:00:00Z,2018-08-30T18:37:00Z,1,GSM3359962,F123 embryonic stem cells,SRP159191,F1 Mus musculus castaneus x S129/SvJae
SRR7770804,OTHER,196,5486476937,PRJNA488313,SAMN09930096,2242121668,F123,mouse ESC line,GEO,public,serum+LIF,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4626252,GSM3359962,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2018-11-17T00:00:00Z,2018-08-30T17:18:00Z,1,GSM3359962,F123 embryonic stem cells,SRP159191,F1 Mus musculus castaneus x S129/SvJae
SRR7770805,OTHER,201,47945904449,PRJNA488313,SAMN09930095,24866376033,F123,mouse ESC line,GEO,public,serum+LIF,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4626253,GSM3359963,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2018-11-17T00:00:00Z,2018-08-30T20:56:00Z,1,GSM3359963,F123 embryonic stem cells,SRP159191,F1 Mus musculus castaneus x S129/SvJae
SRR7770806,OTHER,198,8279350905,PRJNA488313,SAMN09930095,3399132810,F123,mouse ESC line,GEO,public,serum+LIF,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4626253,GSM3359963,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2018-11-17T00:00:00Z,2018-08-30T17:42:00Z,1,GSM3359963,F123 embryonic stem cells,SRP159191,F1 Mus musculus castaneus x S129/SvJae
SRR7770807,OTHER,198,8725543193,PRJNA488313,SAMN09930095,3491133681,F123,mouse ESC line,GEO,public,serum+LIF,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4626253,GSM3359963,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2018-11-17T00:00:00Z,2018-08-30T17:34:00Z,1,GSM3359963,F123 embryonic stem cells,SRP159191,F1 Mus musculus castaneus x S129/SvJae
SRR7770808,Bisulfite-Seq,191,3698254659,PRJNA488313,SAMN09930094,1669019665,F123,mouse ESC line,GEO,public,serum+LIF,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4626254,GSM3359964,Illumina HiSeq 2500,PAIRED,RANDOM,GENOMIC,Mus musculus,ILLUMINA,2018-11-17T00:00:00Z,2018-08-30T17:00:00Z,1,GSM3359964,F123 embryonic stem cells,SRP159191,F1 Mus musculus castaneus x S129/SvJae
SRR7770809,Bisulfite-Seq,191,3594792966,PRJNA488313,SAMN09930094,1611987551,F123,mouse ESC line,GEO,public,serum+LIF,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4626254,GSM3359964,Illumina HiSeq 2500,PAIRED,RANDOM,GENOMIC,Mus musculus,ILLUMINA,2018-11-17T00:00:00Z,2018-08-30T16:58:00Z,1,GSM3359964,F123 embryonic stem cells,SRP159191,F1 Mus musculus castaneus x S129/SvJae
SRR7770810,Bisulfite-Seq,194,8490070443,PRJNA488313,SAMN09930094,4928535326,F123,mouse ESC line,GEO,public,serum+LIF,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4626254,GSM3359964,Illumina HiSeq 2500,PAIRED,RANDOM,GENOMIC,Mus musculus,ILLUMINA,2018-11-17T00:00:00Z,2018-08-30T17:20:00Z,1,GSM3359964,F123 embryonic stem cells,SRP159191,F1 Mus musculus castaneus x S129/SvJae
SRR7770811,Bisulfite-Seq,196,5652022728,PRJNA488313,SAMN09930093,2507284433,F123,mouse ESC line,GEO,public,serum+LIF,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4626255,GSM3359965,Illumina HiSeq 2500,PAIRED,RANDOM,GENOMIC,Mus musculus,ILLUMINA,2018-11-17T00:00:00Z,2018-08-30T17:16:00Z,1,GSM3359965,F123 embryonic stem cells,SRP159191,F1 Mus musculus castaneus x S129/SvJae
SRR7770812,Bisulfite-Seq,196,5496200111,PRJNA488313,SAMN09930093,2423413379,F123,mouse ESC line,GEO,public,serum+LIF,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4626255,GSM3359965,Illumina HiSeq 2500,PAIRED,RANDOM,GENOMIC,Mus musculus,ILLUMINA,2018-11-17T00:00:00Z,2018-08-30T17:14:00Z,1,GSM3359965,F123 embryonic stem cells,SRP159191,F1 Mus musculus castaneus x S129/SvJae
SRR7770813,Bisulfite-Seq,183,41155878007,PRJNA488313,SAMN09930093,17311707954,F123,mouse ESC line,GEO,public,serum+LIF,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4626255,GSM3359965,Illumina HiSeq 2500,PAIRED,RANDOM,GENOMIC,Mus musculus,ILLUMINA,2018-11-17T00:00:00Z,2018-08-30T20:00:00Z,1,GSM3359965,F123 embryonic stem cells,SRP159191,F1 Mus musculus castaneus x S129/SvJae
SRR7770814,Hi-C,198,4745212340,PRJNA488313,SAMN09930092,2060915835,F123,mouse ESC line,GEO,public,serum+LIF,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4626256,GSM3359966,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2018-11-17T00:00:00Z,2018-08-30T17:21:00Z,1,GSM3359966,F123 embryonic stem cells,SRP159191,F1 Mus musculus castaneus x S129/SvJae
SRR7770815,Hi-C,198,3206050219,PRJNA488313,SAMN09930091,1418140446,F123,mouse ESC line,GEO,public,serum+LIF,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4626257,GSM3359967,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2018-11-17T00:00:00Z,2018-08-30T17:08:00Z,1,GSM3359967,F123 embryonic stem cells,SRP159191,F1 Mus musculus castaneus x S129/SvJae
SRR7770816,Hi-C,201,4571422780,PRJNA488313,SAMN09930091,2515814048,F123,mouse ESC line,GEO,public,serum+LIF,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4626257,GSM3359967,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2018-11-17T00:00:00Z,2018-08-30T17:13:00Z,1,GSM3359967,F123 embryonic stem cells,SRP159191,F1 Mus musculus castaneus x S129/SvJae
SRR7770817,Hi-C,100,63048704713,PRJNA488313,SAMN09930091,33076215603,F123,mouse ESC line,GEO,public,serum+LIF,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4626257,GSM3359967,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2018-11-17T00:00:00Z,2018-08-31T00:33:00Z,1,GSM3359967,F123 embryonic stem cells,SRP159191,F1 Mus musculus castaneus x S129/SvJae
SRR7770818,Hi-C,201,10511161429,PRJNA488313,SAMN09930090,5812494438,F123,mouse ESC line,GEO,public,serum+LIF,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4626258,GSM3359968,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2018-11-17T00:00:00Z,2018-08-30T17:49:00Z,1,GSM3359968,F123 embryonic stem cells,SRP159191,F1 Mus musculus castaneus x S129/SvJae
SRR7770819,Hi-C,100,10663858258,PRJNA488313,SAMN09930089,5685114109,F123,mouse ESC line,GEO,public,serum+LIF,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4626259,GSM3359969,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2018-11-17T00:00:00Z,2018-08-30T18:03:00Z,1,GSM3359969,F123 embryonic stem cells,SRP159191,F1 Mus musculus castaneus x S129/SvJae
SRR7770820,Hi-C,100,10661118819,PRJNA488313,SAMN09930089,5116007177,F123,mouse ESC line,GEO,public,serum+LIF,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4626259,GSM3359969,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2018-11-17T00:00:00Z,2018-08-30T18:12:00Z,1,GSM3359969,F123 embryonic stem cells,SRP159191,F1 Mus musculus castaneus x S129/SvJae
SRR7770821,Hi-C,100,49302969536,PRJNA488313,SAMN09930089,25168173407,F123,mouse ESC line,GEO,public,serum+LIF,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4626259,GSM3359969,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2018-11-17T00:00:00Z,2018-08-30T23:07:00Z,1,GSM3359969,F123 embryonic stem cells,SRP159191,F1 Mus musculus castaneus x S129/SvJae
